"date","trips","trips_m"
2013-07-01,13916,NA
2013-07-02,18674,NA
2013-07-03,17713,NA
2013-07-04,11554,NA
2013-07-05,13665,NA
2013-07-06,11503,NA
2013-07-07,12611,NA
2013-07-08,17497,NA
2013-07-09,22352,NA
2013-07-10,21711,NA
2013-07-11,20728,NA
2013-07-12,16245,NA
2013-07-13,18240,NA
2013-07-14,19424,NA
2013-07-15,23777,259610
2013-07-16,25881,271575
2013-07-17,26423,279324
2013-07-18,25289,286900
2013-07-19,22837,298183
2013-07-20,17706,302224
2013-07-21,20567,311288
2013-07-22,22420,321097
2013-07-23,28382,331982
2013-07-24,30554,340184
2013-07-25,27427,345900
2013-07-26,29042,354214
2013-07-27,21497,359466
2013-07-28,16636,357862
2013-07-29,29678,368116
2013-07-30,32238,376577
2013-07-31,32298,382994
2013-08-01,18546,375117
2013-08-02,30018,379846
2013-08-03,20511,377520
2013-08-04,23010,382824
2013-08-05,30668,392925
2013-08-06,32332,402837
2013-08-07,30173,404628
2013-08-08,25136,399210
2013-08-09,25305,397088
2013-08-10,23553,391599
2013-08-11,21819,391921
2013-08-12,27000,402285
2013-08-13,20049,392656
2013-08-14,33198,393616
2013-08-15,32471,393789
2013-08-16,30504,405747
2013-08-17,23738,399467
2013-08-18,19941,398897
2013-08-19,28572,404459
2013-08-20,31423,405214
2013-08-21,32205,405087
2013-08-22,24250,399164
2013-08-23,28522,402550
2013-08-24,23105,400350
2013-08-25,22166,398963
2013-08-26,26452,403596
2013-08-27,30548,407144
2013-08-28,25655,412750
2013-08-29,30253,409805
2013-08-30,27509,404843
2013-08-31,17230,391569
2013-09-01,16023,383854
2013-09-02,15719,379632
2013-09-03,29088,380148
2013-09-04,32906,381631
2013-09-05,31715,381141
2013-09-06,31532,388423
2013-09-07,25541,385442
2013-09-08,25139,387476
2013-09-09,31852,397162
2013-09-10,33642,404352
2013-09-11,32466,406270
2013-09-12,28661,409276
2013-09-13,32832,411855
2013-09-14,23804,408150
2013-09-15,24310,415230
2013-09-16,28666,427873
2013-09-17,35137,447291
2013-09-18,34706,452909
2013-09-19,35539,455542
2013-09-20,35048,458875
2013-09-21,24447,451790
2013-09-22,23267,449516
2013-09-23,31966,456343
2013-09-24,35128,459619
2013-09-25,35120,461097
2013-09-26,35139,463770
2013-09-27,33742,468851
2013-09-28,26842,462861
2013-09-29,25352,464409
2013-09-30,33803,473902
2013-10-01,37339,482575
2013-10-02,37985,485423
2013-10-03,36980,487697
2013-10-04,36185,488343
2013-10-05,26586,479881
2013-10-06,22240,477674
2013-10-07,23586,477993
2013-10-08,35497,481524
2013-10-09,34670,481066
2013-10-10,29479,475425
2013-10-11,31099,471385
2013-10-12,25827,463470
2013-10-13,23011,459639
2013-10-14,29408,463695
2013-10-15,34899,464791
2013-10-16,34446,461898
2013-10-17,34481,458394
2013-10-18,34716,456130
2013-10-19,24159,444104
2013-10-20,23646,441164
2013-10-21,32204,451128
2013-10-22,34027,461569
2013-10-23,30988,457060
2013-10-24,30767,453157
2013-10-25,29191,452869
2013-10-26,21321,443091
2013-10-27,20480,437744
2013-10-28,29720,444453
2013-10-29,31761,446806
2013-10-30,33596,445503
2013-10-31,29920,440977
2013-11-01,28200,434696
2013-11-02,24942,424922
2013-11-03,18341,419104
2013-11-04,25563,421021
2013-11-05,29854,418671
2013-11-06,32874,417518
2013-11-07,24992,411522
2013-11-08,27327,408082
2013-11-09,19145,398036
2013-11-10,17268,393983
2013-11-11,25831,399334
2013-11-12,19446,389060
2013-11-13,23109,380408
2013-11-14,26299,373111
2013-11-15,27611,370802
2013-11-16,21204,363806
2013-11-17,15990,354854
2013-11-18,29165,365678
2013-11-19,26638,366753
2013-11-20,25542,362441
2013-11-21,27811,357378
2013-11-22,24537,356923
2013-11-23,17129,346725
2013-11-24,9008,336588
2013-11-25,18737,338057
2013-11-26,14691,326917
2013-11-27,7820,315291
2013-11-28,4646,296828
2013-11-29,9218,279747
2013-11-30,8819,260955
2013-12-01,12199,251950
2013-12-02,23892,259852
2013-12-03,26755,257442
2013-12-04,27419,258223
2013-12-05,26129,258810
2013-12-06,10503,241502
2013-12-07,14490,231455
2013-12-08,9630,223956
2013-12-09,14547,229495
2013-12-10,12675,223433
2013-12-11,18479,227221
2013-12-12,16982,236383
2013-12-13,17494,249231
2013-12-14,3595,243608
2013-12-15,7289,242078
2013-12-16,15328,245207
2013-12-17,7782,229097
2013-12-18,14687,217029
2013-12-19,18406,208016
2013-12-20,21238,203125
2013-12-21,15792,208414
2013-12-22,13243,207167
2013-12-23,6711,204248
2013-12-24,10543,200244
2013-12-25,2840,190409
2013-12-26,9347,181277
2013-12-27,10945,175240
2013-12-28,9908,167654
2013-12-29,3496,167555
2013-12-30,12362,172628
2013-12-31,9866,167166
2014-01-01,5407,164791
2014-01-02,8419,158523
2014-01-03,1123,141240
2014-01-04,2263,122265
2014-01-05,2643,109116
2014-01-06,9408,105281
2014-01-07,6239,104809
2014-01-08,9189,103455
2014-01-09,13191,113806
2014-01-10,9718,114177
2014-01-11,7501,110733
2014-01-12,11738,112563
2014-01-13,20045,129112
2014-01-14,9842,126592
2014-01-15,21044,137770
2014-01-16,19481,151844
2014-01-17,19518,162943
2014-01-18,8960,170780
2014-01-19,8576,177093
2014-01-20,12891,187341
2014-01-21,3779,181712
2014-01-22,2423,177896
2014-01-23,5036,173743
2014-01-24,6131,166683
2014-01-25,4265,161230
2014-01-26,4892,158621
2014-01-27,13000,159883
2014-01-28,9983,149821
2014-01-29,9966,149945
2014-01-30,12044,140945
2014-01-31,14416,135880
2014-02-01,12027,128389
2014-02-02,12837,132266
2014-02-03,2578,126268
2014-02-04,8624,122001
2014-02-05,2720,120942
2014-02-06,7123,125642
2014-02-07,8427,129033
2014-02-08,5870,128772
2014-02-09,4902,129409
2014-02-10,6804,131321
2014-02-11,8298,126619
2014-02-12,8530,125166
2014-02-13,873,116073
2014-02-14,3575,107604
2014-02-15,2213,95401
2014-02-16,2916,86290
2014-02-17,4753,78206
2014-02-18,5090,80718
2014-02-19,8427,80521
2014-02-20,11600,89401
2014-02-21,8550,90828
2014-02-22,11636,94037
2014-02-23,11882,100049
2014-02-24,12696,107843
2014-02-25,12632,113671
2014-02-26,11067,116440
2014-02-27,11893,119803
2014-02-28,9462,128392
2014-03-01,8614,133431
2014-03-02,7756,138974
2014-03-03,7583,143641
2014-03-04,10270,149158
2014-03-05,13581,157649
2014-03-06,12597,161819
2014-03-07,13051,163270
2014-03-08,13979,168699
2014-03-09,11059,168122
2014-03-10,16684,172924
2014-03-11,22978,183206
2014-03-12,14618,185192
2014-03-13,10768,184893
2014-03-14,15696,188696
2014-03-15,15419,194653
2014-03-16,9127,195166
2014-03-17,12181,199591
2014-03-18,16135,208143
2014-03-19,13059,210932
2014-03-20,18952,216303
2014-03-21,19743,223449
2014-03-22,16501,226899
2014-03-23,10467,223387
2014-03-24,13248,225576
2014-03-25,15662,224554
2014-03-26,14255,215831
2014-03-27,16234,217447
2014-03-28,17814,224493
2014-03-29,4233,213030
2014-03-30,7442,205053
2014-03-31,16486,212412
2014-04-01,22767,222998
2014-04-02,21866,228729
2014-04-03,24953,240623
2014-04-04,12237,233908
2014-04-05,16168,230333
2014-04-06,17150,230982
2014-04-07,14070,234585
2014-04-08,21086,242423
2014-04-09,25754,252515
2014-04-10,26054,264314
2014-04-11,25321,273401
2014-04-12,21479,277066
2014-04-13,21334,294167
2014-04-14,26031,312756
2014-04-15,10155,306425
2014-04-16,19093,302751
2014-04-17,20941,301826
2014-04-18,19023,295896
2014-04-19,18366,302025
2014-04-20,14254,300111
2014-04-21,24709,307670
2014-04-22,25459,319059
2014-04-23,25576,323549
2014-04-24,26380,324175
2014-04-25,25818,323939
2014-04-26,16436,315054
2014-04-27,18064,311639
2014-04-28,26530,316835
2014-04-29,17777,308581
2014-04-30,2817,301243
2014-05-01,25068,307218
2014-05-02,29318,315595
2014-05-03,20148,316720
2014-05-04,17479,315833
2014-05-05,27725,329304
2014-05-06,29889,334484
2014-05-07,30288,339313
2014-05-08,16560,330297
2014-05-09,21007,324924
2014-05-10,18124,317230
2014-05-11,21714,322508
2014-05-12,28963,333407
2014-05-13,30549,337426
2014-05-14,28248,347897
2014-05-15,24550,369630
2014-05-16,16971,361533
2014-05-17,23131,355346
2014-05-18,21162,356360
2014-05-19,28917,367798
2014-05-20,32516,372589
2014-05-21,31712,374412
2014-05-22,22960,367084
2014-05-23,22327,372851
2014-05-24,13056,364900
2014-05-25,16713,363489
2014-05-26,18643,360418
2014-05-27,29439,360894
2014-05-28,27712,358057
2014-05-29,30985,360794
2014-05-30,30965,367209
2014-05-31,21667,371905
2014-06-01,24041,372815
2014-06-02,31122,382775
2014-06-03,27243,381101
2014-06-04,33139,381724
2014-06-05,22627,372639
2014-06-06,33374,383053
2014-06-07,23883,384609
2014-06-08,23260,394813
2014-06-09,17185,395285
2014-06-10,31032,407674
2014-06-11,28438,406673
2014-06-12,27212,406173
2014-06-13,16978,392166
2014-06-14,22454,383655
2014-06-15,22104,384092
2014-06-16,31616,391667
2014-06-17,32294,392839
2014-06-18,32751,398347
2014-06-19,29398,394606
2014-06-20,30772,402751
2014-06-21,23097,392474
2014-06-22,22610,391201
2014-06-23,29554,397495
2014-06-24,33169,413479
2014-06-25,31686,414133
2014-06-26,31867,417562
2014-06-27,31625,421975
2014-06-28,21935,426932
2014-06-29,21633,426111
2014-06-30,30429,434436
2014-07-01,32171,434991
2014-07-02,24486,427183
2014-07-03,25135,419567
2014-07-04,10830,400999
2014-07-05,15571,385798
2014-07-06,17242,379943
2014-07-07,28978,386311
2014-07-08,30491,387248
2014-07-09,31786,385865
2014-07-10,33268,387447
2014-07-11,31249,386829
2014-07-12,22048,377252
2014-07-13,19964,375281
2014-07-14,23586,377234
2014-07-15,21547,368352
2014-07-16,32705,368886
2014-07-17,35372,379772
2014-07-18,32232,386869
2014-07-19,21708,397747
2014-07-20,22784,404960
2014-07-21,32250,419968
2014-07-22,33877,424867
2014-07-23,31576,425952
2014-07-24,33610,427776
2014-07-25,32392,426900
2014-07-26,20622,416273
2014-07-27,21224,415449
2014-07-28,30303,425788
2014-07-29,33993,436195
2014-07-30,34083,448731
2014-07-31,32519,448545
2014-08-01,29306,442479
2014-08-02,20498,430745
2014-08-03,19505,428542
2014-08-04,30208,435966
2014-08-05,31281,434997
2014-08-06,33175,434295
2014-08-07,33089,435808
2014-08-08,30339,432537
2014-08-09,22000,422145
2014-08-10,20410,421933
2014-08-11,29985,430694
2014-08-12,24201,424592
2014-08-13,25872,416471
2014-08-14,31845,414233
2014-08-15,28960,410674
2014-08-16,22040,403408
2014-08-17,20822,403732
2014-08-18,30490,414717
2014-08-19,32370,416879
2014-08-20,32058,417656
2014-08-21,30651,415132
2014-08-22,27545,409588
2014-08-23,20184,399433
2014-08-24,20512,397945
2014-08-25,29616,407151
2014-08-26,31501,408667
2014-08-27,31122,415588
2014-08-28,31080,420796
2014-08-29,27493,416444
2014-08-30,16311,403795
2014-08-31,12906,394661
2014-09-01,17825,391664
2014-09-02,28094,389268
2014-09-03,33068,389966
2014-09-04,33756,391664
2014-09-05,31598,392611
2014-09-06,21353,386419
2014-09-07,23757,389992
2014-09-08,31679,401159
2014-09-09,32356,403899
2014-09-10,34812,407210
2014-09-11,34437,410525
2014-09-12,34012,413457
2014-09-13,15255,401219
2014-09-14,23030,407938
2014-09-15,32258,427290
2014-09-16,24184,433649
2014-09-17,34678,440233
2014-09-18,34670,441835
2014-09-19,32027,440106
2014-09-20,23824,432332
2014-09-21,21489,432468
2014-09-22,30808,439519
2014-09-23,33817,441657
2014-09-24,33237,442538
2014-09-25,15974,423700
2014-09-26,31661,420924
2014-09-27,24016,410928
2014-09-28,22984,418657
2014-09-29,30661,426288
2014-09-30,33029,427059
2014-10-01,26742,429617
2014-10-02,32485,427424
2014-10-03,31505,424259
2014-10-04,11900,404132
2014-10-05,19674,399982
2014-10-06,29439,407932
2014-10-07,31175,408299
2014-10-08,31639,406121
2014-10-09,30052,402936
2014-10-10,28543,415505
2014-10-11,11493,395337
2014-10-12,18346,389667
2014-10-13,20470,387153
2014-10-14,30282,386774
2014-10-15,27228,380973
2014-10-16,25418,379649
2014-10-17,30871,378035
2014-10-18,20433,366963
2014-10-19,16313,371376
2014-10-20,26211,377913
2014-10-21,29631,378105
2014-10-22,8777,355707
2014-10-23,13053,337121
2014-10-24,27885,334954
2014-10-25,20269,326680
2014-10-26,17436,332623
2014-10-27,27107,341384
2014-10-28,31089,352003
2014-10-29,28476,350197
2014-10-30,29549,352518
2014-10-31,25859,352959
2014-11-01,5688,327776
2014-11-02,12946,320289
2014-11-03,25222,329198
2014-11-04,29401,332388
2014-11-05,29018,331775
2014-11-06,11974,334972
2014-11-07,24174,346093
2014-11-08,15383,333591
2014-11-09,15852,329174
2014-11-10,25893,337631
2014-11-11,27714,338238
2014-11-12,26812,333961
2014-11-13,19874,325359
2014-11-14,20439,316249
2014-11-15,12929,303319
2014-11-16,12393,310024
2014-11-17,7997,305075
2014-11-18,16430,296283
2014-11-19,16439,283321
2014-11-20,20200,274503
2014-11-21,17400,279929
2014-11-22,11930,267685
2014-11-23,14319,266621
2014-11-24,22100,272869
2014-11-25,24481,271457
2014-11-26,3618,247361
2014-11-27,3721,224270
2014-11-28,7793,212189
2014-11-29,7619,199369
2014-11-30,11255,197695
2014-12-01,17791,203093
2014-12-02,15170,210266
2014-12-03,13319,207155
2014-12-04,20848,211564
2014-12-05,15467,206831
2014-12-06,3947,193378
2014-12-07,9928,191376
2014-12-08,15348,192405
2014-12-09,6672,176977
2014-12-10,10316,162812
2014-12-11,17849,177043
2014-12-12,17500,190822
2014-12-13,11847,194876
2014-12-14,11279,198536
2014-12-15,18861,206142
2014-12-16,16458,204809
2014-12-17,19844,209483
2014-12-18,18684,214848
2014-12-19,16771,210771
2014-12-20,9209,204513
2014-12-21,8355,208921
2014-12-22,13143,212136
2014-12-23,9186,205974
2014-12-24,4181,203483
