,index,latitude,longitude,duration
0,501.0,40.7316756,-74.0066099,11.0
1,501.0,40.7368739,-74.0055605,152.0
2,501.0,40.7509391,-73.9943601,391.0
3,502.0,40.7317894,-74.0078129,13.0
4,502.0,40.7328666,-74.007538,23.0
5,502.0,40.7324491,-74.0101245,28.0
6,502.0,40.7323041,-74.0106803,65.0
7,502.0,40.7126742,-74.0145712,394.0
8,502.0,40.7047018,-74.0170893,158.0
9,502.0,40.7039531,-74.0146993,51.0
10,502.0,40.7022507,-74.0143079,33.0
11,502.0,40.7022455,-74.0129748,17.0
12,502.0,40.7023898,-74.0129963,4.0
13,502.0,40.7024346,-74.0128434,28.0
14,502.0,40.7025069,-74.0126874,24.0
15,503.0,40.7317894,-74.0078129,13.0
16,503.0,40.7328666,-74.007538,23.0
17,503.0,40.7324491,-74.0101245,28.0
18,503.0,40.7323041,-74.0106803,65.0
19,503.0,40.7242254,-74.0116054,159.0
20,503.0,40.7242681,-74.0111071,66.0
21,503.0,40.7241244,-74.0096487,25.0
22,504.0,40.7317894,-74.0078129,13.0
23,504.0,40.7335607,-74.0073703,37.0
24,504.0,40.7344697,-74.0014134,139.0
25,504.0,40.7338431,-74.0012359,11.0
26,504.0,40.7338255,-74.0013856,3.0
27,504.0,40.7333645,-74.0025786,20.0
28,504.0,40.7333015,-74.0025075,2.0
29,504.0,40.732209,-74.0002913,63.0
30,505.0,40.7316756,-74.0066099,11.0
31,505.0,40.7368739,-74.0055605,152.0
32,505.0,40.7509391,-73.9943601,391.0
33,506.0,40.7317894,-74.0078129,13.0
34,506.0,40.7328666,-74.007538,23.0
35,506.0,40.7324491,-74.0101245,28.0
36,506.0,40.7323041,-74.0106803,65.0
37,506.0,40.7153079,-74.0136946,339.0
38,506.0,40.7162669,-74.0164404,42.0
39,506.0,40.7154789,-74.0166777,17.0
40,506.0,40.7153839,-74.0165481,3.0
41,507.0,40.7316756,-74.0066099,11.0
42,507.0,40.7368739,-74.0055605,152.0
43,507.0,40.7622891,-73.9861066,691.0
44,507.0,40.7614492,-73.9841062,35.0
45,507.0,40.7606949,-73.9845701,12.0
46,508.0,40.7317894,-74.0078129,13.0
47,508.0,40.7364446,-74.0065947,95.0
48,508.0,40.7364904,-74.0061729,6.0
49,509.0,40.7317894,-74.0078129,13.0
50,509.0,40.7335607,-74.0073703,37.0
51,509.0,40.7339987,-74.0045951,69.0
52,509.0,40.7287995,-74.0004449,170.0
53,509.0,40.7304636,-73.9990333,39.0
54,510.0,40.7316756,-74.0066099,11.0
55,510.0,40.7368739,-74.0055605,152.0
56,510.0,40.7472041,-73.9970975,304.0
57,510.0,40.7437953,-73.9890388,192.0
58,510.0,40.7430282,-73.9891702,15.0
59,510.0,40.743985,-73.9914261,37.0
60,511.0,40.7317894,-74.0078129,13.0
61,511.0,40.7335607,-74.0073703,37.0
62,511.0,40.7339987,-74.0045951,69.0
63,511.0,40.7303361,-74.0024887,98.0
64,511.0,40.7304394,-74.0021787,5.0
65,512.0,40.7316756,-74.0066099,11.0
66,512.0,40.7368739,-74.0055605,152.0
67,512.0,40.7647976,-73.9842943,748.0
68,512.0,40.7563852,-73.9643302,511.0
69,512.0,40.767119,-73.9564907,361.0
